case_id,project_type,state,district,land_area_acres,affected_families,affected_parcels,project_complexity,historical_performance_score,compensation_completion_pct,approval_completion_pct,documentation_completion_pct,possession_pct,rehabilitation_progress_pct,stakeholder_response_rate,legal_disputes_count,disputed_parcels_count,pending_approvals_count,incomplete_documents_count,unresolved_grievances_count,administrative_bottlenecks_score,field_verification_delay_days,planned_duration_months,elapsed_duration_months,avg_approval_time_days,avg_verification_time_days,avg_stakeholder_response_days,route_affected_parcel_count,route_land_area_acres,route_affected_households,route_complexity_score,route_legal_dispute_exposure,estimated_acquisition_cost_cr,delayed,actual_delay_months,actual_delay_days
CASE-000001,Port Connectivity,Karnataka,Belagavi,114.5,188,158,1,58.1,90.2,99.9,75.2,80.3,67.2,73.4,7,8,1,31,4,19.5,22.9,24.0,18.7,43.3,20.8,19.8,158,114.5,188,1.0,5.1,1136.1,0,0.0,0
CASE-000002,Expressway / Highway,Gujarat,Vadodara,136.1,233,130,2,46.7,56.0,51.9,61.4,67.9,62.6,70.6,12,12,7,40,5,54.0,34.4,30.0,7.0,46.3,26.2,23.6,130,136.1,233,2.5,9.2,1390.4,0,0.0,0
CASE-000003,High-Speed Rail Feeder,Kerala,Thiruvananthapuram,117.8,184,214,2,69.7,70.7,64.7,70.8,72.5,69.5,86.3,4,4,3,50,3,49.0,24.1,24.0,5.7,36.6,25.0,14.5,214,117.8,184,1.5,1.9,818.1,0,0.0,0
CASE-000004,Freight Corridor,Telangana,Rangareddy,476.3,1378,896,4,65.7,29.6,66.6,0.0,22.5,16.6,46.3,29,41,3,300,8,94.0,88.7,30.0,11.2,89.5,49.5,36.8,896,476.3,1378,4.0,4.6,6357.3,1,8.1,243
CASE-000005,Ring Road / Bypass,Tamil Nadu,Salem,582.5,1334,878,5,61.7,72.8,78.3,64.7,68.6,76.0,91.4,12,21,2,248,3,32.1,41.2,18.0,3.6,30.8,37.3,19.9,878,582.5,1334,4.5,2.4,7989.2,0,0.0,0
CASE-000006,Ring Road / Bypass,Tamil Nadu,Coimbatore,188.9,566,324,4,54.6,20.8,59.6,30.2,17.8,31.6,53.0,28,48,6,181,6,81.0,134.3,36.0,29.2,67.0,30.5,32.4,324,188.9,566,3.8,14.8,1354.4,1,10.4,312
CASE-000007,Ring Road / Bypass,Tamil Nadu,Chennai,312.3,932,574,3,59.1,59.0,41.8,57.3,56.9,68.5,62.8,12,17,8,196,4,55.9,41.5,36.0,24.1,58.3,26.9,26.4,574,312.3,932,3.0,3.0,3484.7,0,0.0,0
CASE-000008,Expressway / Highway,Andhra Pradesh,Visakhapatnam,407.2,597,434,5,39.5,20.5,44.3,19.1,13.5,9.5,20.4,15,23,7,281,14,95.2,91.1,36.0,15.5,95.3,51.2,42.3,434,407.2,597,4.7,5.3,3454.5,1,12.3,369
CASE-000009,Port Connectivity,Telangana,Hyderabad,130.9,142,138,1,64.0,100.0,81.5,88.2,94.8,90.8,100.0,3,4,3,13,3,24.0,15.8,36.0,10.1,21.7,5.0,14.0,138,130.9,142,1.3,2.9,849.0,0,0.0,0
CASE-000010,Ring Road / Bypass,Telangana,Hyderabad,251.0,570,435,3,57.0,38.2,79.6,45.0,33.1,37.1,61.4,12,21,4,191,5,62.5,80.8,30.0,16.7,77.8,51.4,32.2,435,251.0,570,2.9,4.8,2198.4,1,2.1,63
CASE-000011,Expressway / Highway,Tamil Nadu,Madurai,439.8,563,624,5,58.0,32.8,99.5,57.5,40.3,44.0,84.4,13,16,3,212,2,54.9,50.4,30.0,16.0,63.4,36.5,23.0,624,439.8,563,4.6,2.6,5107.1,1,2.9,87
CASE-000012,Port Connectivity,Gujarat,Rajkot,234.2,428,332,4,47.8,49.5,63.0,64.7,49.6,59.1,66.2,7,10,4,94,4,46.7,39.3,24.0,14.7,61.8,30.9,19.6,332,234.2,428,3.8,3.0,2277.0,0,0.0,0
CASE-000013,Port Connectivity,Kerala,Palakkad,188.5,400,402,2,63.6,60.8,73.6,54.5,59.4,50.4,70.9,11,17,4,146,4,52.1,70.7,24.0,11.5,42.9,43.9,11.9,402,188.5,400,1.6,4.2,1670.3,0,0.0,0
CASE-000014,Ring Road / Bypass,Tamil Nadu,Tiruchirappalli,172.9,564,325,4,54.4,13.2,60.6,11.0,20.4,26.7,26.7,31,50,5,231,7,98.0,95.3,24.0,10.5,98.8,48.9,42.6,325,172.9,564,4.0,15.4,1525.6,1,13.8,414
CASE-000015,Expressway / Highway,Tamil Nadu,Coimbatore,491.0,598,496,2,71.6,46.9,68.6,59.8,43.4,29.8,63.9,17,30,4,160,9,63.5,62.1,24.0,13.4,79.0,22.9,26.1,496,491.0,598,2.0,6.0,4365.1,1,3.0,90
CASE-000016,Freight Corridor,Tamil Nadu,Chennai,105.1,124,131,2,81.4,100.0,100.0,82.4,97.4,91.6,91.7,0,0,0,18,1,20.6,2.8,24.0,13.6,33.7,5.0,9.3,131,105.1,124,1.7,0.0,835.8,0,0.0,0
CASE-000017,Expressway / Highway,Karnataka,Mysuru,282.1,448,544,4,66.9,35.4,50.8,41.6,27.7,9.2,45.8,14,19,8,254,8,46.9,83.2,24.0,12.9,82.8,49.1,31.5,544,282.1,448,4.5,3.5,1495.4,1,4.3,129
CASE-000018,Freight Corridor,Maharashtra,Nagpur,152.5,123,109,2,62.9,50.2,64.6,42.5,49.6,36.2,57.0,11,19,5,50,6,75.0,62.8,36.0,23.5,80.6,36.3,22.9,109,152.5,123,2.2,17.4,1974.4,0,0.0,0
